{
  foo                                      , -2147483648, -2147483648: foo, -2147483648, 2147483647,
  foo                                      , -2147483648,          -1: foo, -2147483648, -2,
  foo                                      , -2147483648,           0: foo, -2147483648, -1,
  foo                                      , -2147483648,           1: foo, -2147483648, 0,
  foo                                      , -2147483648,           5: foo, -2147483648, 4,
  foo                                      , -2147483648,           6: foo, -2147483648, 5,
  foo                                      , -2147483648,           7: foo, -2147483648, 6,
  foo                                      , -2147483648,          10: foo, -2147483648, 9,
  foo                                      , -2147483648,          11: foo, -2147483648, 10,
  foo                                      , -2147483648,          12: foo, -2147483648, 11,
  foo                                      , -2147483648,  2147483647: foo, -2147483648, 2147483646,
  foo                                      ,           0, -2147483648: foo, 0, 2147483647,
  foo                                      ,           0,          -1: foo, 0, -2,
  foo                                      ,           0,           0: foo, 0, -1,
  foo                                      ,           0,           1: foo, 0, 0,
  foo                                      ,           0,           5: foo, 0, 4,
  foo                                      ,           0,           6: foo, 0, 5,
  foo                                      ,           0,           7: foo, 0, 6,
  foo                                      ,           0,          10: foo, 0, 9,
  foo                                      ,           0,          11: foo, 0, 10,
  foo                                      ,           0,          12: foo, 0, 11,
  foo                                      ,           0,  2147483647: foo, 0, 2147483646,
  foo                                      ,           1, -2147483648: foo, 0, 2147483647,
  foo                                      ,           1,          -1: foo, 0, -2,
  foo                                      ,           1,           0: foo, 0, -1,
  foo                                      ,           1,           1: foo, 0, 0,
  foo                                      ,           1,           5: foo, 0, 4,
  foo                                      ,           1,           6: foo, 0, 5,
  foo                                      ,           1,           7: foo, 0, 6,
  foo                                      ,           1,          10: foo, 0, 9,
  foo                                      ,           1,          11: foo, 0, 10,
  foo                                      ,           1,          12: foo, 0, 11,
  foo                                      ,           1,  2147483647: foo, 0, 2147483646,
  foo                                      ,           2, -2147483648: foo, 1, 2147483647,
  foo                                      ,           2,          -1: foo, 0, -2,
  foo                                      ,           2,           0: foo, 0, -1,
  foo                                      ,           2,           1: foo, 1, 0,
  foo                                      ,           2,           5: foo, 1, 4,
  foo                                      ,           2,           6: foo, 1, 5,
  foo                                      ,           2,           7: foo, 1, 6,
  foo                                      ,           2,          10: foo, 1, 9,
  foo                                      ,           2,          11: foo, 1, 10,
